Nr.,Autorius,Pavadinimas,Originalo pavadinimas,Kalba,Leidykla,Metai,Žanras,Serija,Puslapiai,ISBN,Lentynos vieta,Pastabos,Teminė linija,Subgrupė,ID,Statusas,Dabartinis laikytojas,Būklė,Kaina (EUR),Įsigijimo data,Įsigijimo šaltinis,Tiražas,Originalo metai,Foto,Atnaujinta,Kas atnaujino,Patalpa,Lentyna
1468.0,Albertas Vijūkas-Kojelavičius,Lietuvos istorija (senasis leidimas),,Lietuvių,,,Istorija,,,,"Spinta J, 17 lentyna (Lietuvos istoriografija)",Gali sutapti su Nr. 538,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K01478,Lentynoje,,,,,,,,,,,,
1469.0,Stasys Samalavičius,An Outline of Lithuanian History,,Anglų,Diemedis,1995.0,Istorija,,,9789986230175.0,"Spinta J, 17 lentyna (Lietuvos istoriografija)",,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K01479,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,52.0
1472.0,Mečislovas Jučas,Lietuvos Didžioji Kunigaikštystė,,Lietuvių,,,Istorija,,,,"Spinta J, 17 lentyna (Lietuvos istoriografija)",M. Jučo leidinio duomenų patvirtinti nepavyko,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K01482,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,52.0
1473.0,Tomas Venclova,Lietuvos istorija visiems (I tomas),,Lietuvių,R. Paknio leidykla,2018.0,Istorija,,,9789955736783.0,"Spinta J, 17 lentyna (Lietuvos istoriografija)",,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K01483,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,52.0
1474.0,Tomas Venclova,Lietuvos istorija visiems (II tomas),,Lietuvių,R. Paknio leidykla,2019.0,Istorija,,,9789955736813.0,"Spinta J, 17 lentyna (Lietuvos istoriografija)",,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K01484,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,52.0
1476.0,Romualdas Granauskas,Lietuvos įdomybės / „Lietuvos žinioms“ 100 metų,,Lietuvių,Lietuvos žinios,2009.0,Publicistika,,,9789986837022.0,"Spinta J, 17 lentyna (Lietuvos istoriografija)",PATIKSLINTI,A50. Lietuvių XX–XXI a. literatūra,Sovietmečio karta,K01486,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,52.0
1477.0,Zenonas Norkus,Istorika,,Lietuvių,Aidai,1996.0,Istoriografija,,,9789986514121.0,"Spinta J, 17 lentyna (Lietuvos istoriografija)",,E31. Istorijos biblioteka,Istoriografijos teorija,K01487,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,52.0
1478.0,Peter Dinzelbacher (sud.),Europos mentaliteto istorija,,Lietuvių,Aidai,1998.0,Istorija,,,,"Spinta J, 17 lentyna (Lietuvos istoriografija)",Aidai,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K01488,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,52.0
1479.0,Zenonas Norkus,Nepasiskelbusioji imperija,,Lietuvių,Aidai,2009.0,Istorija,,,9789955656739.0,"Spinta J, 17 lentyna (Lietuvos istoriografija)",Aidai,E31. Istorijos biblioteka,Istoriografijos teorija,K01489,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,52.0
1480.0,Jörn Rüsen,Istorika,,Lietuvių,ALK / Margi raštai,,Istoriografija,,,,"Spinta J, 17 lentyna (Lietuvos istoriografija)",ALK · J. Rüseno lietuviško leidimo duomenų rasti nepavyko (nepainioti su Z. Norkaus „Istorika“),E31. Istorijos biblioteka,Istoriografijos teorija,K01490,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,52.0
1481.0,Edvardas Gudavičius,Lietuvos istorija (I tomas): nuo seniausių laikų iki 1569 metų,,Lietuvių,,,Istorija,,,,"Spinta J, 17 lentyna (Lietuvos istoriografija)",,E27. LDK ir Lietuvos istorija,Sintezės ir monografijos,K01491,Lentynoje,,,,,,,,,,,,
1482.0,Johan Huizinga,Viduramžių ruduo,Herfsttij der Middeleeuwen,Lietuvių,ALK,1996.0,Kultūros istorija,,,,"Spinta J, 17 lentyna (Lietuvos istoriografija)",ALK · serija „Atviros Lietuvos knyga“; yra ir 2023 m. Aukso žuvų leidimas,E26. Antikos ir viduramžių istorija,,K01492,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,52.0
1483.0,,Regni Poloniae Magnique Ducatus Lithuaniae... (faksimilė),,Lotynų,,,Istorija / kartografija,,,,"Spinta J, 17 lentyna (Lietuvos istoriografija)",Senas žemėlapių/istorijos leidimas. PATIKSLINTI,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K01493,Lentynoje,,,,,,,,,,,,
1485.0,Bronius Genzelis,Kultūrų sąveika,,Lietuvių,Mintis,1989.0,Kultūrologija,,,5417003751.0,"Spinta J, 18 lentyna (kultūros istorija)",,"D25. Sociologija, semiotika, antropologija",,K01495,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,53.0
1487.0,,Religijos filosofija,,Lietuvių,Aidai,,Filosofija,,,,"Spinta J, 18 lentyna (kultūros istorija)",PATIKSLINTI autorių,D19. Filosofijos klasika,Antika–Apšvieta,K01497,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,53.0
1490.0,Leonas Karsavinas,Europos kultūros istorija (2 tomas),,Lietuvių,,,Kultūros istorija,,,,"Spinta J, 18 lentyna (kultūros istorija)",,E31. Istorijos biblioteka,Kultūros istorija,K01500,Lentynoje,,,,,,,,,,,,
1491.0,Leonas Karsavinas,Europos kultūros istorija (3 tomas),,Lietuvių,,,Kultūros istorija,,,,"Spinta J, 18 lentyna (kultūros istorija)",Gali sutapti su Nr. 491 (kitas tomas/leidimas),E31. Istorijos biblioteka,Kultūros istorija,K01501,Lentynoje,,,,,,,,,,,,
1492.0,Antanas Andrijauskas,Meno filosofija,,Lietuvių,Mintis,1990.0,Estetika / menotyra,,,5417003352.0,"Spinta J, 18 lentyna (kultūros istorija)",,D19. Filosofijos klasika,Antika–Apšvieta,K01502,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,53.0
1495.0,Algirdas Julius Greimas,Apie netobulumą,De l'imperfection,Lietuvių,baltos lankos,2004.0,Semiotika,,,9955000643.0,"Spinta J, 18 lentyna (kultūros istorija)",serija „Idėjos“,"D25. Sociologija, semiotika, antropologija",,K01505,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,53.0
1496.0,,Kultūros prigimtis,,Lietuvių,,,Kultūrologija,,,,"Spinta J, 18 lentyna (kultūros istorija)",PATIKSLINTI autorių,"D25. Sociologija, semiotika, antropologija",,K01506,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,53.0
1498.0,Jacques Derrida,Apie gramatologiją,De la grammatologie,Lietuvių,baltos lankos / ALK,2006.0,Filosofija,,,9955230568.0,"Spinta J, 18 lentyna (kultūros istorija)",,D20. XX a. ir lietuvių filosofija,,K01508,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,53.0
1499.0,Juozas Vosylius (sud.),Lotyniški posakiai ir sentencijos,,Lietuvių / lotynų,Mokslas,1981.0,Žinynas,,,,"Spinta J, 18 lentyna (kultūros istorija)",galimi ir vėlesni leidimai,A50. Lietuvių XX–XXI a. literatūra,Šiuolaikinė proza,K01509,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,53.0
1500.0,"Kazys Kuzavinis, Bronys Savukynas",Lietuvių vardų kilmės žodynas,,Lietuvių,,,Kalbotyra / žodynas,,,,"Spinta J, 18 lentyna (kultūros istorija)","keli leidimai (Mokslas 1987; Mokslo ir enciklopedijų leidybos institutas 2003, 2007) – neidentifikuota","H48. Menas, kalbos, pomėgiai",Kalbos ir žodynai,K01510,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,53.0
1501.0,Vytautas Kavolis,Kultūrinė psichologija,,Lietuvių,Baltos lankos,1995.0,Psichologija,,,9789986403425.0,"Spinta J, 18 lentyna (kultūros istorija)",PATIKSLINTI autorių,D23. Psichologija ir saviugda,Šiuolaikinė psichologija,K01511,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,53.0
1502.0,Vytenis Almonaitis; Junona Almonaitienė,Pietų ceklis,,Lietuvių,Keliautojo žinynas,,Kraštotyra,,,,"Spinta J, 19 niša (baltistika)",,E27. LDK ir Lietuvos istorija,Kraštotyra,K01512,Lentynoje,,,,,,,,,,,,
1505.0,Raimonda Ragauskienė,Lietuvos Didžiosios Kunigaikštystės kancleris Mikalojus Radvila Rudasis,,Lietuvių,,,Istorija / biografija,,,,"Spinta J, 19 niša (baltistika)",autorės pavardė įskaityta tik iš dalies · PATIKSLINTI,E32. Biografijos ir memuarai,Asmenybės ir memuarai,K01515,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,62.0
1506.0,Laurynas Katkus,Už 7 gatvių (eilėraščiai),,Lietuvių,,,Poezija,,,,"Spinta J, 20 niša (mišri apatinė)",,A50. Lietuvių XX–XXI a. literatūra,Poezija,K01516,Lentynoje,,,,,,,,,,,,
1507.0,Klaudijus Maniokas,Europos Sąjungos plėtra ir europeizacija,,Lietuvių,Eugrimas,2003.0,Politologija,,,9789955501404.0,"Spinta J, 20 niša (mišri apatinė)",,F33. Geopolitika ir publicistika,,K01517,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,63.0
1508.0,Vytautas Tarasonis,Fizika (atskiras tomas),,Lietuvių,,,Fizika / vadovėlis,,,,"Spinta J, 20 niša (mišri apatinė)","Dar vienas egz. (žr. Nr. 341, 1253)","F34. Kosmosas, fizika, matematika",,K01518,Lentynoje,,,,,,,,,,,,
1509.0,,Lietuvos narystė Europos Sąjungoje (3),,Lietuvių,,,Politologija,,,,"Spinta J, 20 niša (mišri apatinė)",,F33. Geopolitika ir publicistika,,K01519,Lentynoje,,,,,,,,,,,,
1511.0,,,,,,,,,,,"Spinta J, 20 niša (mišri apatinė)","PATIKSLINTI: dar 2-3 smulkūs leidiniai kairėje (mėlynas albumas, žalias tomas)","X. Ūkinė zona: žinynai, vadovėliai, periodika",,K01521,Lentynoje,,,,,,,,,,,,
1512.0,Diktis Kretietis; Daretas Frygas,Apie Trojos karą; Apie Trojos žlugimą,,Lietuvių,Lietuvių literatūros ir tautosakos institutas,2008.0,Antikos literatūra,,,9789955698609.0,"Spinta J, 21 niša (Antika, Troja)",Viduramžių biblioteka X · Serija „Viduramžių biblioteka“,A1. Antikos literatūra ir istorikai,,K01522,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,60.0
1513.0,,Ancient Britain,,Anglų,AA,,Istorija / gidas,,,,"Spinta J, 21 niša (Antika, Troja)","AA · Įvestyje nėra autoriaus, pavadinimas per bendras — identifikuoti neįmanoma",E31. Istorijos biblioteka,Šalių ir epochų istorijos,K01523,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,60.0
1514.0,,Chejeros dalados (?),,Lietuvių,,,,,,,"Spinta J, 21 niša (Antika, Troja)",PATIKSLINTI: labai apiplyšęs senas tomas,"X. Ūkinė zona: žinynai, vadovėliai, periodika",,K01524,Lentynoje,,,,,,,,,,,,
1515.0,A. Šveiceris (Albert Schweitzer) (?),Rinktinė,,Lietuvių,,,Filosofija / memuarai,,,,"Spinta J, 21 niša (Antika, Troja)",PATIKSLINTI (senas tomas gotikinėmis raidėmis),D19. Filosofijos klasika,Antika–Apšvieta,K01525,Lentynoje,,,,,,,,,,,,
1519.0,,Ant septynių kalvų,,Lietuvių,,,Istorija (apie Romą?),,,,"Spinta J, 22 niša (tautų mitai)",PATIKSLINTI autorių,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K01529,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,61.0
1520.0,,,,,,,,,,,"Spinta J, 22 niša (tautų mitai)",PATIKSLINTI: mėlynas tomas kairėje — nugarėlė neįskaitoma,"X. Ūkinė zona: žinynai, vadovėliai, periodika",,K01530,Lentynoje,,,,,,,,,,,,
1522.0,,South Africa (Insight Guides),,Anglų,Insight Guides / Discovery,,Kelionių gidas,,,,"Spinta J, 23 niša (kelionių istorijos)",,"H47. Kelionės, atlasai, geografija",Gidai ir atlasai,K01532,Lentynoje,,,,,,,,,,,,
1523.0,David Birmingham,A Concise History of Portugal,,Anglų,Cambridge University Press,1993.0,Istorija,,,,"Spinta J, 23 niša (kelionių istorijos)","Cambridge · Keli leidimai (1993, 2003, 2018); nurodyti pirmojo leidimo metai, ISBN nepatikslintas",E31. Istorijos biblioteka,Šalių ir epochų istorijos,K01533,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,58.0
1524.0,Paul Arblaster,A History of the Low Countries,,Anglų,Palgrave Macmillan,2005.0,Istorija,,,,"Spinta J, 23 niša (kelionių istorijos)","Palgrave Macmillan, second edition · Keli leidimai (2005, 2012); nurodyti pirmojo leidimo metai, ISBN nepatikslintas",E31. Istorijos biblioteka,Šalių ir epochų istorijos,K01534,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,58.0
1525.0,Marion Kaplan,The Portuguese: The Land and Its People,,Anglų,Penguin,1991.0,Istorija / kultūra,,,,"Spinta J, 23 niša (kelionių istorijos)",Penguin · OpenLibrary: pirmas leidimas 1991 m. (7 leidimai); leidykla ir ISBN nepatikslinti,E31. Istorijos biblioteka,Šalių ir epochų istorijos,K01535,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,58.0
1526.0,I. Denešas,Prie Kilimandžaro,,Lietuvių,,,Kelionės,,,,"Spinta J, 23 niša (kelionių istorijos)",Sovietmečio vertimas; patikimo šaltinio su metais/leidykla rasti nepavyko,"H47. Kelionės, atlasai, geografija",Kelionių literatūra,K01536,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,58.0
1527.0,,Гималаи: каменная книга (?),,Rusų,,,Kelionės / kalnai,,,,"Spinta J, 23 niša (kelionių istorijos)",PATIKSLINTI,"H47. Kelionės, atlasai, geografija",Kelionių literatūra,K01537,Lentynoje,,,,,,,,,,,,
1529.0,Ą. Jakštas (?),Everesto glėbyje,,Lietuvių,,,Kelionės / kalnai,,,,"Spinta J, 24 niša (seni apiplyšę tomai)",PATIKSLINTI autorių,"H47. Kelionės, atlasai, geografija",Kelionių literatūra,K01539,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,59.0
1530.0,,,,Lietuvių,,,,,,,"Spinta J, 24 niša (seni apiplyšę tomai)","PATIKSLINTI: 4-5 labai apiplyšę seni tomai (tarp jų juodas „Anatolijus Fangovas“(?), „Dženius Tiri“(?), „Šeimyniškoji enciklopedija“(?)) — nugarėlės sunkiai įskaitomos","X. Ūkinė zona: žinynai, vadovėliai, periodika",,K01540,Lentynoje,,,,,,,,,,,,
1532.0,F. Scott Fitzgerald,The Last Tycoon,,Anglų,Collins Classics,,Romanas,,,,"Spinta J, 25 niša (Mark Twain)",Collins Classics · 63 leidimai – neidentifikuota,A7. Prarastoji karta ir Amerikos XX a.,,K01542,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,56.0
1533.0,Markas Tvenas (Марк Твен),Жанна д'Арк,Personal Recollections of Joan of Arc,Rusų,,,Istorinis romanas,,,,"Spinta J, 25 niša (Mark Twain)",,A4. Rusų lentyna (originalo k.),XIX a. klasika (Gogolis–Čechovas),K01543,Lentynoje,,,,,,,,,,,,
1534.0,Mark Twain,The Mysterious Stranger and Other Stories,,Anglų,,,Apsakymai,,,,"Spinta J, 25 niša (Mark Twain)",68 leidimai – neidentifikuota,A3. Klasikos kanonas (pagal šalis),Amerikos klasika,K01544,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,56.0
1535.0,Mark Twain,Roughing It,,Anglų,Signet,,Memuarai / humoras,,,,"Spinta J, 25 niša (Mark Twain)",CT 143,A3. Klasikos kanonas (pagal šalis),Amerikos klasika,K01545,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,56.0
1536.0,Mark Twain,The Best Short Stories of Mark Twain,,Anglų,Modern Library Classics,,Apsakymai,,,,"Spinta J, 25 niša (Mark Twain)",sud. Lawrence I. Berkove · OpenLibrary nerado tikslaus atitikmens (grąžino kitas Twaino knygas); konkretus antologijos leidimas nenustatytas,A3. Klasikos kanonas (pagal šalis),Amerikos klasika,K01546,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,56.0
1537.0,O. Henris; Džekas Londonas,Rinktinė (bendras tomas),,Lietuvių,,,Apsakymai,,,,"Spinta J, 25 niša (Mark Twain)",,A3. Klasikos kanonas (pagal šalis),Amerikos klasika,K01547,Lentynoje,,,,,,,,,,,,
1539.0,Molière,The Misanthrope and Other Plays,,Anglų,Penguin Classics,,Dramaturgija,,,,"Spinta J, 26 niša (Penguin klasika)","Penguin Classics · OpenLibrary: pjesių rinktinė (vert. John Wood), pirmas leidimas 1959 m., 16 leidimų; konkretus leidimas, leidykla ir ISBN nenustatyti",A3. Klasikos kanonas (pagal šalis),Prancūzų klasika,K01549,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,57.0
1541.0,Jane Austen,Persuasion,,Anglų,Fawcett Premier,,Romanas,,,,"Spinta J, 26 niša (Penguin klasika)",Fawcett Premier · Originalas 1817 m.; OpenLibrary nurodo klaidingus 1789 m. 1200+ leidimų — konkretus nenustatytas,A3. Klasikos kanonas (pagal šalis),Anglų klasika,K01551,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,57.0
1542.0,Honoré de Balzac,Tėvas Gorijo,Le Père Goriot,Lietuvių,Obuolys,,Romanas,Geriausia iš geriausių,,,"Spinta J, 26 niša (Penguin klasika)",Obuolys · Lietuviškų leidimų yra keli; patikimo konkretaus leidimo aprašo (metai/leidykla/ISBN) rasti nepavyko,A3. Klasikos kanonas (pagal šalis),Prancūzų klasika,K01552,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,57.0
1543.0,John Cleland,"Fanny Hill, or Memoirs of a Woman of Pleasure",,Anglų,,,Romanas,,,,"Spinta J, 26 niša (Penguin klasika)",Penguin · Keli leidimai; OpenLibrary metai nepatikimi (1749/1849). Konkretus leidimas nenustatytas,A3. Klasikos kanonas (pagal šalis),Anglų klasika,K01553,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio 2 aukštas,57.0
1544.0,Oscar Wilde,Selections (Volume One),,Anglų,Progress Publishers,,Rinktinė,,,,"Spinta J, 26 niša (Penguin klasika)",Gali sutapti su Nr. 59 (kitas tomas),A3. Klasikos kanonas (pagal šalis),Anglų klasika ★ pora: originalas + vertimas,K01554,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio 2 aukštas,57.0
1550.0,J. Kenji López-Alt,The Food Lab: Better Home Cooking Through Science,,Anglų,W. W. Norton,2015.0,Kulinarija,,,9780393081084.0,"Virtuvės spinta, 1 lentyna (kulinarijos klasika)",,H42. Kulinarija ir gėrimai,Chef'ų klasika,K01560,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio virtuvė,1.0
1551.0,Yotam Ottolenghi,Ottolenghi Simple,,Anglų,Ebury Press,2018.0,Kulinarija,,,,"Virtuvės spinta, 1 lentyna (kulinarijos klasika)",keli leidėjai (Ebury Press JK; Ten Speed Press JAV) — konkretus nepatvirtintas,H42. Kulinarija ir gėrimai,Chef'ų klasika,K01561,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio virtuvė,1.0
1552.0,Samin Nosrat,"Salt, Fat, Acid, Heat",,Anglų,Simon & Schuster,2017.0,Kulinarija,,,,"Virtuvės spinta, 1 lentyna (kulinarijos klasika)",keli leidėjai (Simon & Schuster JAV; Canongate JK) — konkretus nepatvirtintas,H42. Kulinarija ir gėrimai,Chef'ų klasika,K01562,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio virtuvė,1.0
1553.0,,Spaghetti (kolekcinis leidimas dėžutėje),,Anglų / italų,Springhill (?),,Kulinarija,,,,"Virtuvės spinta, 1 lentyna (kulinarijos klasika)",PATIKSLINTI,C18. Kolekciniai leidimai,,K01563,Lentynoje,,,,,,,,,,,,
1555.0,Sergio Herman,Simple Food,,Anglų,,,Kulinarija,,,,"Virtuvės spinta, 2 lentyna (kulinarija)",OpenLibrary nerado; WebSearch biudžetas išnaudotas — leidimas nepatvirtintas,H42. Kulinarija ir gėrimai,Chef'ų klasika,K01565,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio virtuvė,2.0
1556.0,,Vaistinė jūsų virtuvėje,,Lietuvių,,,Sveikata / mityba,,,,"Virtuvės spinta, 2 lentyna (kulinarija)",Antras egz. arba tas pats kaip sodininkystės kolekcijoje (Nr. 1375) | PAŠALINTA 2026-09-18 (g@cool.lt) · buvusi būsena: Lentynoje,H43. Sveikata ir mityba,,K01566,Pašalintas,,,,,,,,,2026-09-18 20:13:00,g@cool.lt,,
1558.0,Liz Franklin,Oils & Vinegars,,Anglų,Ryland Peters & Small,2008.0,Kulinarija,,,9781845975968.0,"Virtuvės spinta, 2 lentyna (kulinarija)",,H42. Kulinarija ir gėrimai,Pasaulio virtuvės,K01568,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio virtuvė,2.0
1559.0,,Veganiška virtuvė,,Lietuvių,,,Kulinarija,,,,"Virtuvės spinta, 2 lentyna (kulinarija)",,H42. Kulinarija ir gėrimai,Lietuviška ir dvaro virtuvė,K01569,Lentynoje,,,,,,,,,,,,
1560.0,"Alfas Ivanauskas, Ali Gadžijevas",7 ingredientai,,Lietuvių,Žurnalų leidybos grupė,2012.0,Kulinarija,,,9786094100581.0,"Virtuvės spinta, 2 lentyna (kulinarija)",Smaguris · ĮSPĖJIMAS: įvesties autorius „Pagal Mi ir Do“ neatitinka rastos knygos autorių — gali būti kita knyga (plg. „Veganiška virtuvė pagal Mi ir Do“),H42. Kulinarija ir gėrimai,Lietuviška ir dvaro virtuvė,K01570,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio virtuvė,2.0
1561.0,Francis Mallmann,Seven Fires: Grilling the Argentine Way,,Anglų,Artisan,2009.0,Kulinarija,,278.0,9781579653545.0,"Virtuvės spinta, 2 lentyna (kulinarija)",Artisan,H42. Kulinarija ir gėrimai,Chef'ų klasika,K01571,Lentynoje,,,30.0,2011-04-13 00:00:00,,,,,2026-09-18 15:04:00,g@cool.lt,Paupio virtuvė,2.0
1562.0,,Anthropologie de la cuisine (?),,,,,Kulinarija,,,,"Virtuvės spinta, 2 lentyna (kulinarija)",PATIKSLINTI: geltona knyga raudonu užrašu (nugarėlė pasukta),H42. Kulinarija ir gėrimai,Pasaulio virtuvės,K01572,Lentynoje,,,,,,,,,,,,
1563.0,Jamie Oliver,VEG,,Anglų,Penguin Michael Joseph,2019.0,Kulinarija,,,9780718187767.0,"Virtuvės spinta, 2 lentyna (kulinarija)","JAV leidimas vadinasi „Ultimate Veg“ (2020, Flatiron)",H42. Kulinarija ir gėrimai,Chef'ų klasika,K01573,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio virtuvė,2.0
1565.0,Olga Džindželeta (?),Geriausi receptai žaliavalgiams,,Lietuvių,,,Kulinarija / žaliavalgystė,,,,"Virtuvės spinta, 2 lentyna (kulinarija)",PATIKSLINTI autorę,H42. Kulinarija ir gėrimai,Lietuviška ir dvaro virtuvė,K01575,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio virtuvė,2.0
1566.0,Darius Pietaris,Paglostymas prieš plauką,,Lietuvių,Balto,2021.0,Kulinarija / eseistika,,,,"Virtuvės spinta, 2 lentyna (kulinarija)",Alma littera · ISBN šaltinyje nenurodytas,A3. Klasikos kanonas (pagal šalis),Kita klasika ir antologijos,K01576,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio virtuvė,2.0
1567.0,Guoda Azguridienė,Maistas,,Lietuvių,Alma littera,,Kulinarija / žinynas,,,,"Virtuvės spinta, 2 lentyna (kulinarija)","didelė knyga, autorius nematomas · PATIKSLINTI",H42. Kulinarija ir gėrimai,Lietuviška ir dvaro virtuvė,K01577,Lentynoje,,,,,,,,,2026-09-17 15:21:00,g@cool.lt,Paupio virtuvė,2.0
1568.0,Žvilė Povilaitytė-Buzaitė (?),Skanaus! Dėl angliavandenių,,Lietuvių,,,Mityba,,,,"Virtuvės spinta, 2 lentyna (kulinarija)",PATIKSLINTI autorę,H43. Sveikata ir mityba,,K01578,Lentynoje,,,,,,,,,,,,
1570.0,Marius Abramavičius-Neboisia,Vizionierius (?),,Lietuvių,,,Kulinarija / menas,,,,"Virtuvės spinta, 2 lentyna (kulinarija)",PATIKSLINTI pavadinimą,H42. Kulinarija ir gėrimai,Lietuviška ir dvaro virtuvė,K01580,Lentynoje,,,,,,,,,,,,
1572.0,Renata Ničajienė,Gero maisto dienoraštis: Pavasaris,,Lietuvių,,2016.0,Kulinarija,Gero maisto dienoraštis,,,"Virtuvės spinta, 2 lentyna (kulinarija)",4 knygų sezoninė serija; leidykla ir atskiros dalies ISBN nepatvirtinti (komplekto ISBN 9786094089497),H42. Kulinarija ir gėrimai,Lietuviška ir dvaro virtuvė,K01582,Lentynoje,,,,,,,,,2026-09-16 17:51:00,g@cool.lt,Paupio virtuvė,2.0
